Date,Festival,Product_Category,Sub_Category,Actual Price,Discount Price,Discount (%),Profit,Sales_Quantity,Age,Gender,Location,Review Rating,Previous Purchases,Frequency Of Purchases,Income,Browsing Time,Frequency,Festival Day Type
2024-04-12,Normal Days,Clothing,Blouse,96,53,44.79,43,5,55,Male,Kentucky,3.1,14,Fortnightly,141958,8,Low,Non-Festival Day
2024-12-14,Normal Days,Clothing,Sweater,97,64,34.02,33,6,19,Male,Maine,3.1,2,Fortnightly,35795,7,Low,Non-Festival Day
2024-09-27,Normal Days,Clothing,Jeans,92,73,20.65,19,4,50,Male,Massachusetts,3.1,23,Weekly,20860,28,Low,Non-Festival Day
2024-04-16,Normal Days,Footwear,Sandals,137,90,34.31,47,5,21,Male,Rhode Island,3.5,49,Weekly,123694,11,Low,Non-Festival Day
2024-03-12,Normal Days,Clothing,Blouse,61,49,19.67,12,3,45,Male,Oregon,2.7,31,Annually,148106,8,Low,Non-Festival Day
2024-07-07,Normal Days,Footwear,Sneakers,45,20,55.56,25,7,46,Male,Wyoming,2.9,14,Weekly,139879,17,Low,Non-Festival Day
2024-01-21,Normal Days,Clothing,Shirt,128,85,33.59,43,11,63,Male,Montana,3.2,49,Quarterly,130268,24,Low,Non-Festival Day
2024-04-12,Normal Days,Clothing,Shorts,57,34,40.35,23,5,27,Male,Louisiana,3.2,19,Weekly,96820,21,Low,Non-Festival Day
2024-05-01,Normal Days,Outerwear,Coat,124,97,21.77,27,8,26,Male,West Virginia,2.6,8,Annually,74886,11,Low,Non-Festival Day
2024-08-02,Back to School Sales,Accessories,Handbag,46,31,32.61,15,10,57,Male,Missouri,4.8,4,Quarterly,26265,78,High,Festival Day
2024-11-26,Normal Days,Footwear,Shoes,49,34,30.61,15,6,53,Male,Arkansas,4.1,26,Bi-Weekly,102386,8,Low,Non-Festival Day
2024-03-28,Normal Days,Clothing,Shorts,96,68,29.17,28,6,30,Male,Hawaii,4.9,10,Fortnightly,148214,15,Low,Non-Festival Day
2024-04-09,Normal Days,Outerwear,Coat,112,72,35.71,40,10,61,Male,Delaware,4.5,37,Fortnightly,57194,7,Low,Non-Festival Day
2024-12-25,Normal Days,Clothing,Dress,95,51,46.32,44,8,65,Male,New Hampshire,4.7,31,Weekly,107498,15,Low,Non-Festival Day
2024-05-31,Normal Days,Outerwear,Coat,81,53,34.57,28,5,64,Male,New York,4.7,34,Weekly,132727,7,Low,Non-Festival Day
2024-05-10,Normal Days,Clothing,Skirt,88,81,7.95,7,7,64,Male,Rhode Island,2.8,8,Monthly,146324,16,Low,Non-Festival Day
2024-05-29,Normal Days,Accessories,Sunglasses,62,36,41.94,26,3,25,Male,Alabama,4.1,44,Bi-Weekly,64131,5,Low,Non-Festival Day
2024-11-04,Normal Days,Clothing,Dress,44,38,13.64,6,6,53,Male,Mississippi,4.7,36,Quarterly,80263,8,Low,Non-Festival Day
2024-09-14,Normal Days,Clothing,Sweater,76,48,36.84,28,7,52,Male,Montana,4.6,17,Weekly,36023,18,Low,Non-Festival Day
2024-12-09,Green Monday,Clothing,Pants,138,90,34.78,48,10,66,Male,Rhode Island,3.3,46,Bi-Weekly,61090,62,High,Festival Day
2024-10-20,Normal Days,Clothing,Pants,85,51,40.0,34,4,21,Male,Louisiana,2.8,50,Every 3 Months,87221,18,Low,Non-Festival Day
2024-07-10,Normal Days,Clothing,Pants,104,62,40.38,42,9,31,Male,North Carolina,4.1,22,Quarterly,84820,17,Low,Non-Festival Day
2024-10-03,Normal Days,Clothing,Pants,43,37,13.95,6,5,56,Male,California,3.2,32,Annually,20769,17,Low,Non-Festival Day
2024-06-09,Normal Days,Clothing,Pants,113,88,22.12,25,9,31,Male,Oklahoma,4.4,40,Weekly,79735,28,Low,Non-Festival Day
2024-11-09,Normal Days,Outerwear,Jacket,59,22,62.71,37,4,18,Male,Florida,2.9,16,Weekly,82955,19,Low,Non-Festival Day
2024-01-22,Normal Days,Clothing,Hoodie,41,25,39.02,16,2,18,Male,Texas,3.6,14,Annually,84925,21,Low,Non-Festival Day
2024-09-09,Normal Days,Accessories,Jewelry,46,20,56.52,26,6,38,Male,Nevada,3.6,13,Annually,141637,16,Low,Non-Festival Day
